lib_id,depth_in_core,age_min,age_max,age_median,core,DNA_conc_raw_extracts,cleaned_reads
cap37_Lib006_026,0.5,-12.5,-2,-8,Ryder19_24_PC,,618835
cap139_SCR_186,0.5,-12.5,-2,-8,Ryder19_24_PC,2.76,41162
cap_Ryder19_12_GC1_0_5cm,0.5,96,170,134,Ryder19_12_GC,4.725,358346
cap_DA17_st7_73G_sect5_cm0_1,0.5,363,218,286.3,DA17_st7_73G,18.7,827529
DA17 NG G73 st 7 sec 5 0-1 cm,0.5,,,286.3,DA17_st7_73G,18.7,
cap03_Lib006_012,1.5,-40,631,222,LK21_ICst26,16.25,751047
DA17 NG G73 st 7 sec 5 7-8 cm,7.5,,,456.6,DA17_st7_73G,8.32,
cap60_Lib006_085,9.5,594,423,505.3,DA17_st7_73G,,247174
DA17 NG G73 st 7 sec 5 11-12 cm,11.5,,,554,DA17_st7_73G,4.54,
DA17 NG G73 st 7 sec 5 13-14 cm,13.5,,,602.6,DA17_st7_73G,4.26,
cap57_Lib006_079,15.5,748,560,651.3,DA17_st7_73G,8.5,214036
DA17 NG G73 st 7 sec 5 15-16 cm,15.5,,,651.3,DA17_st7_73G,8.5,
DA17 NG G73 st 7 sec 5 17-18 cm,17.5,,,700,DA17_st7_73G,3.98,
"DA17 st7 73G sect 5, 19-20",19.5,,,748.6,DA17_st7_73G,6.77,
cap55_Lib006_073,22,915,709,809.5,DA17_st7_73G,7.37,352098
DA17 NG G73 st 7 sec 4 1-2 cm,22,,,809.5,DA17_st7_73G,7.37,
SCR_138,32,1172,937,1052.8,DA17_st7_73G,5.62,200240
"DA17 st7 73G sect 4, 11-12",32,,,1052.8,DA17_st7_73G,5.62,
SCR_139,37,1301,1052,1174.4,DA17_st7_73G,4.71,253575
DA17 NG G73 st 7 sec 4 16-17cm,37,,,1174.4,DA17_st7_73G,4.71,
cap26_Lib006_020,10.5,1212,1245,1227.5,Ryder19_24_PC,,353612
cap52_Lib006_067,42,1429,1166,1296.1,DA17_st7_73G,,332531
cap20_Lib006_006,5,31,2269,904,LK21_ICst26,14.3,408970
SCR_140,52,1686,1394,1539.4,DA17_st7_73G,3.99,164365
DA17 NG G73 st 7 sec 4 31-32 cm,52,,,1539.4,DA17_st7_73G,3.99,
DA17 NG G73 st 7 sec 4 41-42 cm,62,,,1782.7,DA17_st7_73G,1.4,
SCR_134,5.5,1757,1879,1815,Ryder19_12_GC,0.9145,265000
cap50_Lib006_061,67,2071,1737,1904.4,DA17_st7_73G,,240449
SCR_141,77,2324,1974,2149.4,DA17_st7_73G,3.08,161276
"DA17 st7 73G sect 4, 56-57",77,,,2149.4,DA17_st7_73G,3.08,
cap39_Lib006_041,10,1059,2815,2231,LK21_ICst26,3.9,641726
SCR_143,82,2450,2095,2272.4,DA17_st7_73G,1.81,211103
DA17 NG G73 st 7 sec 4 61-62 cm,82,,,2272.4,DA17_st7_73G,1.81,
SCR_142,87,2575,2215,2395.3,DA17_st7_73G,3.6,172160
"DA17 st7 73G sect 4, 66-67",87,,,2395.3,DA17_st7_73G,3.6,
cap_Ryder19_24_PC1_sec1_20_5cm,20.5,2434,2495.5,2463.5,Ryder19_24_PC,,1612054
SCR_077,12.5,1968,2905,2511,LK21_ICst26,2.39,20848
cap45_Lib006_055,92,2701,2336,2518.3,DA17_st7_73G,,425933
DA17 NG G73 st 7 sec 4 76-77 cm,97,,,2641.3,DA17_st7_73G,2.14,
DA17 NG G73 st 7 sec 4 86-87 cm,107,,,2887.2,DA17_st7_73G,2.24,
SCR_078,20,2603,3481,3023,LK21_ICst26,2.805,33845
"DA17 st7 73G sect 4, 90-91",111,,,2985.8,DA17_st7_73G,2.37,
cap41_Lib006_049,117,3326,2946,3135.4,DA17_st7_73G,,384935
DA17 NG G73 st 7 sec 3 2-3 cm,118,,,3160.4,DA17_st7_73G,1.43,
SCR_165,25,2764,3705,3217,LK21_ICst26,0.905,35340
"DA17 st7 73G sect 3, 7-8",123,,,3285.1,DA17_st7_73G,2.99,
cap_LK21-ICst26_sec3_15cm,30,2936,3895,3411,LK21_ICst26,2.96,653454
cap59_Lib006_084,126,3550,3172,3360,DA17_st7_73G,,178376
SCR_132,10.5,3418,3589,3496,Ryder19_12_GC,0.2165,128231
DA17 NG G73 st 7 sec 3 17-18 cm,133,,,3534.6,DA17_st7_73G,2.64,
SCR_080,35,3121,4070,3606,LK21_ICst26,2.51,25735
cap56_Lib006_078,136,3798,3422,3609.4,DA17_st7_73G,,229060
"DA17 st7 73G sect 3, 20-21",136,,,3609.4,DA17_st7_73G,1.54,
"DA17 st7 73G sect 3, 22-23",138,,,3659.3,DA17_st7_73G,2.12,
cap66_Lib006_008,30.5,3655,3746.5,3699,Ryder19_24_PC,,394324
cap139_SCR_185,30.5,3655,3746.5,3699,Ryder19_24_PC,0.775,35031
DA17 NG G73 st 7 sec 3 25-26 cm,141,,,3734.2,DA17_st7_73G,2.02,
SCR_081,40,3334,4225,3801,LK21_ICst26,2.1,28153
cap54_Lib006_072,143,3971,3598,3784.1,DA17_st7_73G,,306844
"DA17 st7 73G sect 3, 29-30",145,,,3834,DA17_st7_73G,2.96,
SCR_144,148,4096,3723,3908.8,DA17_st7_73G,2.75,281885
"DA17 st7 73G sect 3, 32-33",148,,,3908.8,DA17_st7_73G,2.75,
cap_LK21-ICst26_sec3_30cm,45,3572,4369,3992,LK21_ICst26,2.365,294230
SCR_146,153,4220,3848,4033.5,DA17_st7_73G,1.96,314948
