Depth sed [m]	Age [ka BP]	Foram/sed [#/g]	Foram benth [#/g]	Foram benth calc [#/g]	Foram benth agg [#/g]	Foram plankt [#/g]	I. helenae [#/g]	I. norcrossi [#/g]	C. neoteretis [#/g]	C. reniforme [#/g]	E. vitrea [#/g]	E. arctica [#/g]	S. horvathi [#/g]	E. clavatum [#/g]	E. albiumbilicatum [#/g]	E. frigidum [#/g]	E. hallandense [#/g]	S. feylingi [#/g]	S. concava [#/g]	S. fusiformis [#/g]	C. lobatulus [#/g]	B. frigida [#/g]	E. pulchella [#/g]	P. bulloides [#/g]	Q. stalkeri [#/g]	Q. seminulum [#/g]	A. gallowayi [#/g]	M. barleeanus [#/g]	C. arctica [#/g]	R. arctica [#/g]	N. labradorica [#/g]	N. iridea [#/g]	B. elegantissima [#/g]	M. subrotunda [#/g]	G. oculus [#/g]	P. williamsoni [#/g]	Lagena sp. [#/g]	Sagrina sp. [#/g]	T. trihedra [#/g]	T. tricarinata [#/g]	Polymorphina sp. [#/g]	T. fluens [#/g]	B. aff. albatrossi [#/g]	G. glacialis [#/g]	G. arctica [#/g]	H. nivea [#/g]	Fissurina sp. [#/g]	D. pauperata [#/g]	Ammonia sp. [#/g]	Florilus sp. [#/g]
0.00	0.2742	35.3642	35.2756	2.1272	33.1484	0.0886	0.1773	0.0000	0.0000	0.0886	0.0886	0.0000	0.0000	0.1773	0.0000	0.0000	0.0000	1.4181	0.0000	0.0000	0.0000	0.0886	0.0000	0.0000	0.0886	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.05	0.3958	25.3805	25.3092	3.1369	22.1723	0.0713	0.0000	0.0000	0.1426	1.0694	0.0000	0.0713	0.5703	0.4278	0.0713	0.0000	0.0000	0.4991	0.0000	0.0000	0.0713	0.1426	0.0000	0.0000	0.0000	0.0000	0.0713	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.10	0.5175	18.6732	18.3524	8.0212	10.3312	0.3208	0.0000	0.0000	1.0267	1.6684	0.0000	0.1925	1.7326	2.3743	0.1925	0.0000	0.0000	0.3208	0.0642	0.0000	0.0000	0.2567	0.0642	0.0000	0.0000	0.0000	0.0000	0.0642	0.0642	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.15	0.6391	17.1187	16.7650	7.0738	9.6912	0.3537	0.0707	0.1415	0.6366	1.5562	0.0707	0.4244	1.4148	1.2026	0.0707	0.0000	0.0707	0.7781	0.0000	0.0000	0.0000	0.4952	0.0707	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0707	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.20	0.7608	19.2123	19.0000	3.3436	15.6564	0.2123	0.0000	0.0531	0.4777	0.6369	0.0000	0.2123	0.4246	0.9553	0.0000	0.0531	0.0000	0.1061	0.0000	0.0000	0.0000	0.3184	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1061	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.25	0.8825	24.4264	24.2766	9.2910	14.9855	0.1499	0.0749	0.0749	1.3487	2.6225	0.0000	0.2248	2.3977	1.3487	0.0000	0.0000	0.0000	0.5245	0.0000	0.0000	0.0000	0.0749	0.1499	0.0000	0.0000	0.0000	0.0000	0.2997	0.0000	0.0000	0.0000	0.0000	0.0749	0.0000	0.0000	0.0000	0.0749	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.30	1.0041	17.9712	17.8498	3.9464	13.9034	0.1214	0.0000	0.0000	0.4250	0.7286	0.0607	0.3643	0.3643	0.2429	0.0000	0.0000	0.0000	1.2143	0.0000	0.0000	0.0000	0.1214	0.0000	0.0000	0.0000	0.0000	0.0000	0.2429	0.1821	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.35	1.1258	23.1587	23.0225	7.1520	15.8705	0.1362	0.0000	0.0000	0.6130	1.9753	0.0000	0.3406	0.8174	1.6347	0.2043	0.0000	0.0000	0.5449	0.0000	0.0000	0.0000	0.3406	0.0000	0.0000	0.0000	0.0681	0.0000	0.4768	0.0000	0.0681	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0681	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.40	1.2474	21.8261	21.7598	5.9043	15.8554	0.0663	0.0000	0.0663	0.3980	1.0615	0.0663	0.7297	1.5258	0.5307	0.0000	0.0000	0.0000	0.7961	0.1327	0.0000	0.0000	0.1990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0663	0.1327	0.0000	0.1327	0.0000	0.0000	0.0000	0.0663	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.45	1.3691	28.4087	28.2563	7.9971	20.2593	0.1523	0.0000	0.1523	0.8378	2.5134	0.0762	0.5331	0.7616	1.2186	0.0000	0.0000	0.0000	0.4570	0.1523	0.0000	0.0000	0.3808	0.0762	0.0000	0.0000	0.0000	0.0000	0.6093	0.0000	0.0000	0.1523	0.0000	0.0762	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
