Event	Depth sed [m]	Age [ka BP]	IP25/sed [µg/g]	IP25/TOC [µg/g]	Acc rate IP25 [µg/cm**2/ka]	C25 HBI diene/sed [µg/g]	C25 HBI diene/TOC [µg/g]	C25 HBI (Z) triene/sed [µg/g]	C25 HBI (Z) triene/TOC [µg/g]	Acc rate C25 HBI (Z) triene [µg/cm**2/ka]	C25 HBI (E) triene/sed [µg/g]	C25 HBI (E) triene/TOC [µg/g]
PS93/025-1	0.01	0.042	0.0058	0.7049	0.2093	0.0102	1.2339	0.0010	0.1229	0.0365	0.0013	0.1590
PS93/025-1	0.03	0.112	0.0052	0.5910	0.2251	0.0088	1.0003	0.0010	0.1105	0.0421	0.0012	0.1354
PS93/025-1	0.05	0.176	0.0066		0.3120	0.0117		0.0014		0.0661	0.0014	
PS93/025-1	0.06	0.206	0.0079	0.9581	0.3504	0.0149	1.8186	0.0017	0.2055	0.0752	0.0018	0.2169
PS93/025-1	0.07	0.238	0.0067	0.8301	0.3143	0.0111	1.3600	0.0014	0.1731	0.0656	0.0014	0.1782
PS93/025-1	0.08	0.270	0.0116	1.3495	0.5395	0.0225	2.6090	0.0025	0.2899	0.1159	0.0027	0.3096
PS93/025-1	0.09	0.302	0.0095	1.0699	0.4083	0.0202	2.2702	0.0027	0.2999	0.1145	0.0026	0.2921
PS93/025-1	0.10	0.336	0.0093	1.1323	0.4081	0.0169	2.0607	0.0028	0.3450	0.1244	0.0027	0.3233
PS93/025-1	0.13	0.435	0.0071	0.7856	0.3216	0.0121	1.3387	0.0022	0.2441	0.0999	0.0020	0.2161
PS93/025-1	0.15	0.509	0.0086	1.0569	0.4142	0.0166	2.0460	0.0025	0.3135	0.1228	0.0023	0.2865
PS93/025-1	0.16	0.554	0.0100	1.1089	0.4941	0.0217	2.4033	0.0031	0.3467	0.1545	0.0029	0.3231
PS93/025-1	0.17	0.585	0.0068	0.8202	0.4135	0.0126	1.5121	0.0022	0.2646	0.1334	0.0020	0.2371
PS93/025-1	0.18	0.609	0.0097	1.1434	0.6204	0.0198	2.3244	0.0030	0.3544	0.1923	0.0030	0.3503
PS93/025-1	0.20	0.658	0.0081	1.0038	0.4790	0.0149	1.8578	0.0025	0.3087	0.1473	0.0024	0.2936
PS93/025-1	0.23	0.730	0.0085	1.0070	0.5551	0.0153	1.8045	0.0026	0.3009	0.1659	0.0022	0.2609
PS93/025-1	0.25	0.778	0.0086	1.1065	0.5424	0.0177	2.2768	0.0018	0.2371	0.1162	0.0019	0.2481
PS93/025-1	0.26	0.802	0.0081	1.0068	0.4773	0.0169	2.0969	0.0020	0.2480	0.1176	0.0020	0.2446
PS93/025-2	0.27	0.827	0.0080	0.9837	0.4675	0.0166	2.0358	0.0018	0.2193	0.1042	0.0020	0.2437
PS93/025-2	0.28	0.852	0.0054	0.7018	0.5253	0.0115	1.5093	0.0019	0.2488	0.1171	0.0015	0.1957
PS93/025-2	0.29	0.875	0.0048	0.7138	0.3175	0.0107	1.5698	0.0015	0.2193	0.1125	0.0013	0.1952
PS93/025-2	0.30	0.899	0.0075	1.0472	0.2777	0.0186	2.5839	0.0021	0.2853	0.0853	0.0018	0.2547
PS93/025-2	0.31	0.925	0.0049	0.6868	0.4531	0.0106	1.4884	0.0015	0.2134	0.1234	0.0013	0.1841
PS93/025-2	0.32	0.949	0.0049	0.6309	0.3080	0.0109	1.4096	0.0016	0.2088	0.0957	0.0014	0.1838
PS93/025-2	0.33	0.973	0.0066	0.9052	0.3067	0.0164	2.2573	0.0026	0.3581	0.1015	0.0023	0.3170
PS93/025-2	0.34	0.997	0.0055	0.7529	0.3520	0.0118	1.6246	0.0019	0.2653	0.1392	0.0015	0.2062
PS93/025-2	0.35	1.025	0.0076	1.0423	0.3000	0.0187	2.5740	0.0024	0.3355	0.1057	0.0021	0.2858
PS93/025-2	0.36	1.052	0.0045	0.6382	0.5189	0.0097	1.3879	0.0017	0.2378	0.1670	0.0013	0.1856
PS93/025-2	0.37	1.074	0.0064	0.9116	0.2830	0.0151	2.1340	0.0024	0.3402	0.1055	0.0022	0.3141
PS93/025-2	0.40	1.150	0.0056	0.7883	0.3517	0.0120	1.6924	0.0021	0.2998	0.1313	0.0021	0.2945
PS93/025-2	0.43	1.279	0.0061	0.7844	0.1976	0.0155	1.9894	0.0024	0.3141	0.0752	0.0020	0.2538
PS93/025-2	0.45	1.364	0.0051	0.6403	0.2367	0.0129	1.6317	0.0019	0.2457	0.0948	0.0021	0.2616
PS93/025-2	0.47	1.444	0.0050	0.7429	0.1817	0.0122	1.8015	0.0019	0.2805	0.0697	0.0017	0.2548
PS93/025-2	0.50	1.575	0.0052	0.8038	0.1842	0.0133	2.0422	0.0020	0.3085	0.0695	0.0019	0.2900
PS93/025-2	0.52	1.660	0.0049	0.6480	0.1970	0.0125	1.6474	0.0019	0.2503	0.0756	0.0018	0.2360
PS93/025-2	0.53	1.701	0.0051	0.7140	0.1765	0.0120	1.6735	0.0017	0.2343	0.0682	0.0017	0.2389
PS93/025-2	0.54	1.743	0.0038	0.4924	0.1762	0.0101	1.3094	0.0015	0.1920	0.0578	0.0013	0.1645
PS93/025-2	0.55	1.788	0.0039	0.5301	0.1314	0.0103	1.4143	0.0014	0.1876	0.0512	0.0013	0.1772
PS93/025-2	0.56	1.831	0.0033	0.4937	0.1508	0.0075	1.1306	0.0008	0.1188	0.0534	0.0006	0.0967
PS93/025-2	0.57	1.870	0.0034	0.4606	0.1233	0.0078	1.0520	0.0008	0.1087	0.0297	0.0007	0.0918
PS93/025-2	0.58	1.910	0.0046	0.6527	0.1392	0.0122	1.7344	0.0012	0.1695	0.0328	0.0013	0.1813
PS93/025-2	0.60	1.992	0.0055	0.8329	0.1674	0.0139	2.0882	0.0021	0.3153	0.0435	0.0022	0.3263
PS93/025-2	0.63	2.117	0.0049	0.6846	0.2001	0.0124	1.7258	0.0014	0.1925	0.0757	0.0015	0.2096
PS93/025-2	0.64	2.159	0.0045	0.6591	0.1938	0.0104	1.5341	0.0013	0.1892	0.0545	0.0011	0.1628
PS93/025-2	0.65	2.198	0.0051	0.7214	0.1611	0.0121	1.6961	0.0017	0.2376	0.0463	0.0016	0.2227
PS93/025-2	0.66	2.240	0.0039	0.5466	0.1759	0.0089	1.2369	0.0013	0.1795	0.0505	0.0012	0.1618
PS93/025-2	0.67	2.279	0.0059	0.7848	0.1781	0.0137	1.8302	0.0020	0.2676	0.0586	0.0019	0.2566
PS93/025-2	0.68	2.322	0.0053	0.7586	0.1791	0.0130	1.8506	0.0017	0.2350	0.0588	0.0015	0.2077
PS93/025-2	0.70	2.399	0.0045	0.6314	0.2010	0.0091	1.2882	0.0017	0.2354	0.0623	0.0015	0.2106
PS93/025-2	0.72	2.487	0.0044	0.6175	0.1506	0.0110	1.5377	0.0016	0.2212	0.0562	0.0015	0.2075
PS93/025-2	0.73	2.533	0.0020	0.3063	0.1539	0.0039	0.5914	0.0006	0.0829	0.0574	0.0005	0.0771
PS93/025-2	0.74	2.577	0.0034	0.4815	0.1428	0.0074	1.0517	0.0010	0.1385	0.0511	0.0007	0.1036
PS93/025-2	0.75	2.623	0.0061	0.8485	0.0652	0.0159	2.2251	0.0014	0.2029	0.0177	0.0013	0.1822
PS93/025-2	0.76	2.670	0.0028	0.4159	0.1169	0.0057	0.8554	0.0006	0.0852	0.0336	0.0006	0.0839
PS93/025-2	0.77	2.713	0.0053	0.7941	0.2290	0.0112	1.6800	0.0013	0.1961	0.0548	0.0014	0.2042
PS93/025-2	0.78	2.753	0.0041	0.6162	0.1162	0.0105	1.5868	0.0011	0.1647	0.0238	0.0011	0.1599
PS93/025-2	0.80	2.831	0.0045	0.6581	0.1416	0.0111	1.6433	0.0010	0.1479	0.0379	0.0009	0.1305
