Event	Depth sed [m]	Age [ka BP]	Brassicasterol/sed [µg/g]	Brassicasterol/TOC [µg/g]	Acc rate brassicasterol [µg/cm**2/ka]	Campesterol/sed [µg/g]	Campesterol/TOC [µg/g]	Acc rate campesterol [µg/cm**2/ka]	b-Sitosterol/sed [µg/g]	b-Sitosterol/TOC [µg/g]	Acc rate b-sitosterol [µg/cm**2/ka]	Dinosterol/sed [µg/g]	Dinosterol/TOC [µg/g]	Acc rate dinosterol [µg/cm**2/ka]
PS93/025-1	0.01	0.0416	0.0548	6.6541	1.9758	0.0341	4.1422	1.2299	0.0980	11.9067	3.5355	0.0393	4.7697	1.4163
PS93/025-1	0.03	0.1125	0.0467	5.3151	2.0241	0.0306	3.4893	1.3288	0.0766	8.7246	3.3226	0.0353	4.0216	1.5316
PS93/025-1	0.05	0.1762	0.0464		2.1915	0.0399		1.8851	0.0791		3.7376	0.0462		2.1851
PS93/025-1	0.06	0.2055	0.0512	6.2383	2.2815	0.0647	7.8797	2.8819	0.1065	12.9689	4.7431	0.0789	9.6088	3.5143
PS93/025-1	0.07	0.2384	0.0433	5.3231	2.0154	0.0509	6.2594	2.3700	0.0779	9.5802	3.6273	0.0587	7.2245	2.7354
PS93/025-1	0.08	0.2698	0.0637	7.3908	2.9545	0.0779	9.0365	3.6124	0.1164	13.4942	5.3943	0.0980	11.3593	4.5409
PS93/025-1	0.09	0.3017	0.0656	7.3702	2.8127	0.0712	7.9998	3.0529	0.1269	14.2655	5.4441	0.1122	12.6156	4.8144
PS93/025-1	0.10	0.3363	0.0404	4.9213	1.7739	0.0449	5.4622	1.9689	0.0685	8.3372	3.0052	0.0682	8.2967	2.9906
PS93/025-1	0.13	0.4352	0.0353	3.9031	1.5981	0.0267	2.9545	1.2097	0.0403	4.4561	1.8245	0.0551	6.1005	2.4978
PS93/025-1	0.15	0.5092	0.0374	4.6097	1.8064	0.0305	3.7561	1.4719	0.0503	6.2035	2.4309	0.0610	7.5233	2.9481
PS93/025-1	0.16	0.5539	0.0327	3.6213	1.6137	0.0306	3.3865	1.5090	0.0521	5.7717	2.5718	0.0536	5.9330	2.6437
PS93/025-1	0.17	0.5846	0.0312	3.7609	1.8963	0.0264	3.1731	1.5999	0.0409	4.9208	2.4811	0.0471	5.6644	2.8560
PS93/025-1	0.18	0.6093	0.0390	4.5840	2.4872	0.0333	3.9205	2.1272	0.0620	7.2899	3.9554	0.0654	7.6922	4.1738
PS93/025-1	0.20	0.6578	0.0285	3.5514	1.6945	0.0247	3.0798	1.4695	0.0372	4.6269	2.2077	0.0471	5.8697	2.8007
PS93/025-1	0.23	0.7305	0.0266	3.1338	1.7276	0.0210	2.4753	1.3645	0.0388	4.5741	2.5216	0.0556	6.5576	3.6150
PS93/025-1	0.25	0.7779	0.0075	0.9699	0.4755	0.0069	0.8883	0.4355	0.0143	1.8356	0.8999	0.0273	3.5144	1.7228
PS93/025-1	0.26	0.8017	0.0157	1.9551	0.9269	0.0085	1.0547	0.5000	0.0167	2.0780	0.9852	0.0326	4.0515	1.9208
PS93/025-2	0.27	0.8273	0.0128	1.5636	0.7431	0.0075	0.9154	0.4350	0.0155	1.9009	0.9034	0.0298	3.6501	1.7347
PS93/025-2	0.28	0.8521	0.0161	2.1053	1.0509	0.0106	1.3867	0.6922	0.0183	2.3970	1.1964	0.0382	5.0011	2.4963
PS93/025-2	0.29	0.8746	0.0150	2.2146	0.8910	0.0109	1.6049	0.6457	0.0256	3.7672	1.5157	0.0310	4.5728	1.8398
PS93/025-2	0.30	0.8994	0.0149	2.0708	0.8531	0.0137	1.9131	0.7881	0.0271	3.7656	1.5513	0.0455	6.3343	2.6095
PS93/025-2	0.31	0.9248	0.0097	1.3696	0.5854	0.0082	1.1502	0.4916	0.0232	3.2708	1.3980	0.0265	3.7361	1.5969
PS93/025-2	0.32	0.9494	0.0161	2.0705	1.0159	0.0094	1.2123	0.5948	0.0249	3.2029	1.5715	0.0211	2.7112	1.3302
PS93/025-2	0.33	0.9733	0.0142	1.9600	0.8899	0.0064	0.8849	0.4018	0.0252	3.4793	1.5797	0.0294	4.0494	1.8385
PS93/025-2	0.34	0.9971	0.0106	1.4602	0.5669	0.0095	1.3059	0.5070	0.0210	2.8998	1.1258	0.0214	2.9518	1.1459
PS93/025-2	0.35	1.0250	0.0105	1.4388	0.5764	0.0055	0.7534	0.3018	0.0190	2.6065	1.0442	0.0251	3.4523	1.3830
PS93/025-2	0.36	1.0524	0.0117	1.6753	0.8009	0.0081	1.1610	0.5551	0.0189	2.6967	1.2893	0.0241	3.4505	1.6496
PS93/025-2	0.37	1.0745	0.0159	2.2536	1.0104	0.0116	1.6400	0.7353	0.0291	4.1156	1.8452	0.0366	5.1710	2.3184
