Depth sed [m]	Age [ka BP]	TOC [%]	2000-63 µm [%]	SR [cm/ka]	MAR [g/cm**2/ka]	Acc rate TOC [g/cm**2/ka]	IP25/sed [µg/g]	IP25/TOC [µg/g]	Acc rate IP25 [µg/cm**2/ka]	Brassicasterol/sed [µg/g]	Brassicasterol/TOC [µg/g]	Acc rate brassicasterol [µg/cm**2/ka]	Dinosterol/sed [µg/g]	Dinosterol/TOC [µg/g]	Acc rate dinosterol [µg/cm**2/ka]	C25 HBI (Z) triene/sed [µg/g]	C25 HBI (Z) triene/TOC [µg/g]	Acc rate C25 HBI (Z) triene [µg/cm**2/ka]	HBI TR25	PBIP25	PDIP25	P(III)IP25
0.00	-0.049	1.14	0.658	35.971	14.030	0.160	0.011	0.99	0.16	0.19	16.78	2.68	0.31	27.55	4.41	0.015	1.35	0.22	0.777	0.480	0.413	0.423
0.05	0.101	1.19																				
0.10	0.252	1.32		32.258	14.228	0.188	0.007	0.54	0.10	0.10	7.29	1.37	0.21	16.21	3.05	0.011	0.84	0.16	0.769	0.539	0.397	0.393
0.15	0.403	1.35																				
0.20	0.574	1.17		35.461	16.412	0.193	0.005	0.46	0.09	0.08	6.48	1.25	0.16	13.33	2.57	0.009	0.77	0.15	0.790	0.524	0.402	0.371
0.25	0.746	1.26																				
0.30	0.918	1.31	1.762	56.497	23.709	0.310	0.006	0.43	0.13	0.09	6.75	2.10	0.19	14.39	4.47	0.012	0.90	0.28	0.787	0.498	0.368	0.323
0.35	1.005	1.45																				
0.40	1.091	1.42		68.027	26.687	0.378	0.005	0.35	0.13	0.07	5.13	1.94	0.16	11.56	4.37	0.016	1.11	0.42	0.810	0.515	0.371	0.239
0.45	1.178	1.25																				
0.50	1.247	1.25		68.027	31.971	0.401	0.004	0.29	0.11	0.06	4.89	1.96	0.16	12.70	5.09	0.018	1.47	0.59	0.814	0.477	0.306	0.162
0.55	1.316	1.21																				
0.60	1.385	1.23	0.872	79.365	48.901	0.600	0.005	0.39	0.23	0.09	7.45	4.47	0.18	14.84	8.90	0.025	2.02	1.21	0.811	0.448	0.338	0.161
0.65	1.443	1.48																				
0.70	1.500	1.38		80.645	40.698	0.563	0.005	0.35	0.20	0.08	6.12	3.45	0.17	11.93	6.72	0.028	1.99	1.12	0.824	0.474	0.366	0.150
0.75	1.558	1.35																				
0.80	1.619	1.33		86.957	41.021	0.546	0.001	0.10	0.05	0.04	3.27	1.78	0.08	6.22	3.40	0.007	0.53	0.29	0.815	0.322	0.238	0.157
0.85	1.679	1.36																				
0.90	1.740	1.15		84.034	34.344	0.396	0.002	0.13	0.05	0.05	4.37	1.73	0.09	7.56	3.00	0.006	0.53	0.21	0.818	0.318	0.252	0.197
0.95	1.801	1.13																				
1.00	1.863	1.21		84.034	38.507	0.466	0.001	0.09	0.04	0.03	2.41	1.13	0.05	4.41	2.06	0.007	0.59	0.28	0.832	0.365	0.282	0.130
1.05	1.924	1.27																				
1.10	1.985	1.51		87.719	38.402	0.581	0.005	0.31	0.18	0.14	9.18	5.34	0.26	17.11	9.94	0.018	1.17	0.68	0.809	0.348	0.264	0.210
1.15	2.046	1.35																				
1.20	2.106	1.38	1.046	86.957	41.328	0.570	0.006	0.47	0.27	0.08	5.53	3.15	0.11	7.64	4.35	0.037	2.72	1.55	0.820	0.571	0.547	0.148
1.25	2.165	1.37																				
1.30	2.224	1.35		80.645	40.273	0.545	0.003	0.22	0.12	0.05	4.00	2.18	0.08	5.89	3.21	0.006	0.43	0.23	0.803	0.468	0.428	0.343
1.35	2.283	1.19																				
1.40	2.342	1.23		88.496	37.958	0.468	0.005	0.39	0.18	0.13	10.41	4.87	0.17	14.02	6.55	0.004	0.34	0.16	0.753	0.372	0.355	0.538
1.45	2.400	1.35																				
1.50	2.459	1.40	1.520	86.957	47.282	0.661	0.002	0.16	0.10	0.07	5.09	3.36	0.09	6.73	4.45	0.002	0.12	0.08	0.706	0.327	0.314	0.570
1.55	2.515	1.41																				
1.60	2.571	1.19		87.719	37.069	0.440	0.005	0.42	0.18	0.15	12.61	5.54	0.18	15.43	6.78	0.008	0.66	0.29	0.718	0.340	0.345	0.387
1.65	2.628	1.38																				
1.70	2.685	1.28		85.470	37.265	0.478	0.005	0.40	0.19	0.18	14.37	6.87	0.23	17.87	8.54	0.003	0.26	0.12	0.682	0.305	0.306	0.606
1.75	2.743	1.30																				
1.80	2.800	1.24	1.013	87.719	41.363	0.512	0.002	0.18	0.09	0.04	3.52	1.80	0.05	3.87	1.98	0.001	0.09	0.05	0.658	0.439	0.472	0.658
1.85	2.857	1.38																				
1.90	2.915	1.36		84.746	35.252	0.479	0.003	0.20	0.10	0.07	4.79	2.29	0.09	6.55	3.14	0.002	0.12	0.06	0.646	0.399	0.378	0.637
1.95	2.972	1.26																				
2.00	3.019	1.34		117.647	59.807	0.801	0.003	0.21	0.17	0.08	5.79	4.63	0.11	8.28	6.63	0.002	0.12	0.09	0.649	0.359	0.329	0.636
2.05	3.065	1.44																				
2.10	3.112	1.46	1.164	120.482	62.883	0.920	0.005	0.35	0.32	0.15	10.27	9.44	0.20	13.82	12.71	0.003	0.18	0.17	0.644	0.345	0.329	0.652
2.15	3.154	1.38																				
2.20	3.195	1.35		120.482	54.008	0.727	0.002	0.14	0.10	0.04	3.24	2.36	0.07	5.05	3.67	0.002	0.14	0.10	0.693	0.408	0.356	0.503
2.25	3.236	1.42																				
2.30	3.278	1.37		119.048	50.247	0.688	0.003	0.26	0.18	0.07	4.81	3.31	0.12	9.05	6.22	0.003	0.23	0.16	0.695	0.454	0.356	0.526
2.35	3.320	1.34																				
2.40	3.361	1.40	1.676	112.360	56.497	0.791	0.005	0.38	0.30	0.11	7.60	6.01	0.22	15.84	12.53	0.006	0.41	0.32	0.729	0.441	0.322	0.486
2.45	3.404	1.41																				
2.50	3.447	1.51		120.482	59.637	0.903	0.003	0.21	0.19	0.06	3.85	3.47	0.10	6.32	5.70	0.004	0.30	0.27	0.745	0.463	0.396	0.417
2.55	3.490	1.40																				
2.60	3.533	1.44		119.048	53.871	0.778	0.003	0.20	0.16	0.06	4.11	3.20	0.14	9.80	7.63	0.004	0.30	0.23	0.752	0.433	0.286	0.401
2.65	3.576	1.45																				
2.70	3.620	1.29	1.659	113.636	48.649	0.629	0.005	0.36	0.23	0.09	6.86	4.31	0.17	13.22	8.31	0.009	0.66	0.41	0.759	0.451	0.348	0.353
2.75	3.661	1.33																				
2.80	3.703	1.31		114.943	44.397	0.583	0.003	0.22	0.13	0.04	3.10	1.80	0.07	5.28	3.08	0.002	0.13	0.08	0.708	0.524	0.447	0.619
2.85	3.744	1.45																				
2.90	3.787	1.32		116.279	50.461	0.667	0.003	0.23	0.16	0.06	4.32	2.88	0.10	7.51	5.01	0.004	0.32	0.21	0.768	0.460	0.380	0.425
2.95	3.830	1.43																				
3.00	3.872	1.34	1.349	116.279	54.632	0.732	0.002	0.17	0.12	0.03	2.33	1.70	0.05	3.87	2.83	0.002	0.18	0.13	0.714	0.527	0.456	0.474
3.05	3.914	1.32																				
3.10	3.956	1.41		116.279	65.336	0.921	0.003	0.24	0.22	0.04	2.49	2.29	0.08	5.37	4.94	0.002	0.14	0.13	0.678	0.605	0.470	0.627
3.15	3.999	1.13																				
3.20	4.039	1.10		117.647	66.949	0.735	0.005	0.46	0.34	0.08	7.23	5.31	0.13	11.81	8.68	0.002	0.17	0.13	0.666	0.498	0.432	0.725
3.25	4.080	1.24																				
3.30	4.120	1.10	0.655	121.951	69.292	0.764	0.003	0.27	0.20	0.06	5.83	4.46	0.12	10.54	8.06	0.001	0.13	0.10	0.691	0.417	0.331	0.664
3.35	4.163	1.15																				
3.40	4.206	1.26		117.647	63.318	0.797	0.002	0.20	0.16	0.06	5.12	4.08	0.11	8.56	6.82	0.003	0.22	0.17	0.699	0.377	0.311	0.478
3.45	4.248	1.31																				
3.50	4.292	1.18		117.647	60.769	0.720	0.004	0.31	0.22	0.07	6.18	4.44	0.14	12.02	8.65	0.005	0.40	0.29	0.766	0.436	0.332	0.431
3.55	4.335	1.23																				
3.60	4.378	1.12	0.690	121.951	63.077	0.704	0.004	0.32	0.23	0.06	5.74	4.04	0.09	7.98	5.61	0.006	0.57	0.40	0.770	0.467	0.441	0.359
3.65	4.420	1.29																				
3.70	4.462	1.14		114.943	65.103	0.742	0.003	0.29	0.21	0.11	9.24	6.85	0.17	14.65	10.87	0.004	0.35	0.26	0.737	0.329	0.279	0.451
3.75	4.505	1.15																				
3.80	4.546	1.28		119.048	63.967	0.818	0.006	0.46	0.38	0.10	7.79	6.37	0.16	12.90	10.55	0.004	0.32	0.26	0.707	0.481	0.412	0.589
3.85	4.587	1.11																				
3.90	4.629	1.12	1.316	119.048	52.492	0.588	0.002	0.20	0.12	0.06	5.67	3.33	0.09	8.32	4.89	0.001	0.12	0.07	0.736	0.358	0.322	0.618
3.95	4.672	1.21																				
4.00	4.715	1.14		120.482	51.181	0.584	0.004	0.38	0.22	0.11	9.47	5.52	0.15	12.81	7.48	0.003	0.25	0.15	0.724	0.388	0.370	0.603
4.05	4.758	1.11																				
4.10	4.799	1.16		126.582	64.214	0.745	0.005	0.46	0.34	0.12	10.46	7.79	0.24	20.31	15.13	0.002	0.20	0.15	0.679	0.406	0.305	0.696
4.15	4.840	1.18																				
4.20	4.881	1.13	1.484	129.870	72.077	0.816	0.005	0.40	0.32	0.09	8.21	6.71	0.18	15.87	12.95	0.002	0.22	0.18	0.675	0.431	0.329	0.646
4.25	4.919	1.12																				
4.30	4.956	1.09		126.582	64.704	0.707	0.004	0.33	0.23	0.06	5.91	4.18	0.13	12.30	8.69	0.003	0.25	0.18	0.742	0.469	0.346	0.568
4.35	4.993	1.37																				
4.40	5.030	1.22		128.205	81.188	0.993	0.003	0.23	0.23	0.05	4.45	4.42	0.09	7.61	7.56	0.002	0.14	0.14	0.708	0.446	0.371	0.613
4.45	5.067	1.13																				
4.50	5.104	1.30	2.029	129.870	58.434	0.759	0.004	0.28	0.22	0.06	4.31	3.27	0.12	8.99	6.82	0.001	0.11	0.08	0.669	0.508	0.383	0.718
4.55	5.141	1.12																				
4.60	5.179	1.12		131.579	73.143	0.821	0.003	0.30	0.24	0.04	3.99	3.27	0.09	7.71	6.33	0.003	0.24	0.19	0.721	0.538	0.430	0.556
4.65	5.216	1.14																				
4.70	5.254	1.14		128.205	59.312	0.675	0.005	0.44	0.29	0.06	5.38	3.63	0.14	12.68	8.56	0.002	0.22	0.15	0.701	0.559	0.403	0.665
4.75	5.291	1.33																				
4.80	5.329	1.07	1.424	129.870	74.367	0.797	0.008	0.76	0.61	0.08	7.23	5.76	0.18	16.55	13.19	0.004	0.41	0.32	0.691	0.623	0.475	0.652
4.85	5.368	1.27																				
4.90	5.407	1.17		136.986	89.425	1.048	0.010	0.82	0.86	0.10	8.89	9.32	0.21	18.06	18.92	0.004	0.34	0.35	0.697	0.590	0.470	0.708
4.95	5.445	1.33																				
5.00	5.482	1.30		129.870	78.911	1.023	0.007	0.51	0.52	0.09	6.93	7.09	0.17	13.15	13.45	0.004	0.29	0.30	0.714	0.534	0.430	0.634
5.05	5.518	1.17																				
5.10	5.555	1.26	1.837	128.205	65.578	0.825	0.003	0.27	0.22	0.05	3.63	3.00	0.10	8.33	6.87	0.003	0.25	0.21	0.735	0.535	0.386	0.515
5.15	5.592	1.25																				
5.20	5.630	1.25		129.870	77.412	0.969	0.003	0.23	0.22	0.04	3.14	3.04	0.10	7.63	7.39	0.003	0.21	0.20	0.736	0.536	0.373	0.525
5.25	5.667	1.24																				
5.30	5.705	1.10		131.579	76.803	0.843	0.004	0.37	0.32	0.05	4.15	3.50	0.12	10.81	9.11	0.006	0.51	0.43	0.752	0.586	0.404	0.421
5.35	5.742	1.08																				
5.40	5.779	1.16	1.050	121.951	58.597	0.679	0.003	0.28	0.19	0.05	4.27	2.90	0.11	9.13	6.20	0.004	0.32	0.22	0.745	0.510	0.379	0.472
5.45	5.819	1.12																				
5.50	5.859	1.18		121.951	63.099	0.744	0.006	0.47	0.35	0.06	5.45	4.05	0.13	11.09	8.25	0.004	0.36	0.27	0.736	0.577	0.456	0.570
5.55	5.899	0.97																				
5.60	5.936	0.97		151.515	96.216	0.937	0.005	0.49	0.46	0.08	7.86	7.37	0.15	15.62	14.64	0.002	0.24	0.23	0.716	0.496	0.383	0.670
5.65	5.974	1.06																				
